Question,Answer
Is fullscreen enforced?,"We maintain strict academic integrity through Live Proctoring via webcam, Tab Switch Detection (maximum 3 warnings before auto-submission), Encrypted Answers, and Fullscreen Enforcement. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What happens if time runs out?,"We maintain strict academic integrity through Live Proctoring via webcam, Tab Switch Detection (maximum 3 warnings before auto-submission), Encrypted Answers, and Fullscreen Enforcement. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What is the auto-submit timeout?,"We maintain strict academic integrity through Live Proctoring via webcam, Tab Switch Detection (maximum 3 warnings before auto-submission), Encrypted Answers, and Fullscreen Enforcement. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What should I expect?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
How do I prepare for the exam?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What happens during the test?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What happens after submission?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
When will I get my results?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Is there a timer?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Can I flag questions?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Do my answers save?,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Preparation guide,"Before you start, please read detailed instructions, perform system checks for your webcam, and enter fullscreen mode. During the exam, a timer is always visible and answers save automatically. After submission, you will receive confirmation and await result announcements. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What is your privacy policy?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
Do you collect my data?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
Are my camera recordings saved?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
Is my data safe?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
How do you handle personal information?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
Privacy policy details,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
Do you monitor my browser?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
What data is collected?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
Where is the privacy policy link?,"Our Privacy Policy ensures your personal data (like email and institution), assessment data (scores, activity logs), and technical data are securely encrypted. We monitor browser behavior for proctoring to ensure exam integrity. <br/><br/><a href='https://assessments.shnoor.com/privacy-policy' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Privacy Policy</a>"
How do I contact you?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Who do I contact for technical issues?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What is your phone number?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What is the contact email?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Where is your office?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What is the US address?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
contact,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
contact us,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
technical support,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
I need help,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Who can help me?,"For technical support or issues with your recruitment assessments, you can reach out to info@shnoor.com (General) or proc@shnoor.com (Sales). Phone: +91-9429694298 / +91-9041914601. <br/><br/><a href='https://assessments.shnoor.com/' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Hi,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Hello,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Hey,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Good morning,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Hi bot,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Are you there?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Who are you?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
How are you?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
How are you doing?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
What's up?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
How is it going?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Can you help me?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Are you an AI?,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Greetings,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
Hey there,"Hello! I am the SHNOOR Assessments support assistant. I can help you with questions about exams, proctoring security, registration, and technical support. How can I assist you?"
ok,Got it! Let me know if you have any other questions or need further assistance with your exam.
okay,Got it! Let me know if you have any other questions or need further assistance with your exam.
alright,Got it! Let me know if you have any other questions or need further assistance with your exam.
got it,Got it! Let me know if you have any other questions or need further assistance with your exam.
understood,Got it! Let me know if you have any other questions or need further assistance with your exam.
cool,Got it! Let me know if you have any other questions or need further assistance with your exam.
fine,Got it! Let me know if you have any other questions or need further assistance with your exam.
sounds good,Got it! Let me know if you have any other questions or need further assistance with your exam.
make sense,Got it! Let me know if you have any other questions or need further assistance with your exam.
ok thanks,Got it! Let me know if you have any other questions or need further assistance with your exam.
kk,Got it! Let me know if you have any other questions or need further assistance with your exam.
sure,Got it! Let me know if you have any other questions or need further assistance with your exam.
Thanks,You're very welcome! Good luck with your assessment!
Thank you,You're very welcome! Good luck with your assessment!
Thanks a lot,You're very welcome! Good luck with your assessment!
Thank you very much,You're very welcome! Good luck with your assessment!
I appreciate it,You're very welcome! Good luck with your assessment!
Thanks for your help,You're very welcome! Good luck with your assessment!
"Great, thanks",You're very welcome! Good luck with your assessment!
"Awesome, thank you",You're very welcome! Good luck with your assessment!
Good to know,You're very welcome! Good luck with your assessment!
"Okay, thank you",You're very welcome! Good luck with your assessment!
thankyou,You're very welcome! Good luck with your assessment!
thank u,You're very welcome! Good luck with your assessment!
ty,You're very welcome! Good luck with your assessment!
thx,You're very welcome! Good luck with your assessment!
tq,You're very welcome! Good luck with your assessment!
Bye,Goodbye! Take care and best of luck on your placement journey.
Goodbye,Goodbye! Take care and best of luck on your placement journey.
See you later,Goodbye! Take care and best of luck on your placement journey.
Catch you later,Goodbye! Take care and best of luck on your placement journey.
See ya,Goodbye! Take care and best of luck on your placement journey.
Have a good day,Goodbye! Take care and best of luck on your placement journey.
Take care,Goodbye! Take care and best of luck on your placement journey.
I'm leaving,Goodbye! Take care and best of luck on your placement journey.
Bye for now,Goodbye! Take care and best of luck on your placement journey.
Good night,Goodbye! Take care and best of luck on your placement journey.
Tell me a joke,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Say something funny,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Make me laugh,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Do you know any jokes?,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Are you funny?,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Sing a song,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
What is your favorite color?,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Tell a joke,"I am a highly secure AI assistant focusing on ensuring fair examination processes, so I don't tell jokes! Focus on your test!"
Who made you?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
Who created you?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
Who developed you?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
Are you human?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
Are you a real person?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
Who programmed you?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
Are you a robot?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
What is your name?,I am an AI developed specifically for Shnoor International to assist students and candidates using the Secure Examination Portal.
What do you know?,"I specialize in answering questions about SHNOOR Assessments features, including Live Proctoring, auto-saving, scheduled tests, and technical support. What would you like to know?"
What can I ask you?,"I specialize in answering questions about SHNOOR Assessments features, including Live Proctoring, auto-saving, scheduled tests, and technical support. What would you like to know?"
How smart are you?,"I specialize in answering questions about SHNOOR Assessments features, including Live Proctoring, auto-saving, scheduled tests, and technical support. What would you like to know?"
