Question,Answer
Do I need to download software?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Does it support multiple languages?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Is the platform secure?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Is my data safe?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Can I edit online?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What are the main advantages?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Why choose your HR system?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Tell me the benefits,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Do you have language support?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Is there a free trial?,"Our HR platform allows you to start with a free account, edit online with no software needed, supports multiple languages, and provides a highly safe and secure environment. <br/><br/><a href='https://hrm.shnoor.com' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
What are the features?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
What features do you offer?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
Tell me about your capabilities,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
List the features,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
What can this HR platform do?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
What are the modules?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
Does it have payroll?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
Does it have asset management?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
Can I manage multiple locations?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
Do you have attendance tracking?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
What are the core capabilities?,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
Explain the features,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
services,"We offer a comprehensive suite of features including: One Click Payroll Processing, Company Asset Management, Multiple Locations support, Dynamic Letter Heads, Leave Management, Attendance Tracking, Multi-Language support, and Employee Survey Forms. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore HRM Features</a>"
How does employee management work?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Tell me about staff management,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Can I assign roles?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Can I manage managers?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Is there an employee dashboard?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
How do I manage staff?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Does it track location based employees?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Can I manage employee leaves?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
What is the staff management feature?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Explain employee management,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
How do I assign positions?,"The Employee & Staff Management module lets you easily manage employees based on their roles, locations, and positions. You can assign roles and managers, track leaves and attendance, and provide employees with a powerful personal dashboard."
Tell me about payroll,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
How does salary management work?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
Can I generate salary slips?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
How do I process payroll?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
Is there one click payroll?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
How do you handle promotions?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
Can it track increments?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
Explain the payroll system,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
What is salary management?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
Do you provide payslips?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
How fast is payroll processing?,"Our Payroll and Salary Management system makes it easy to manage employee salaries. It features One Click Payroll, automated Salary Slips, and easy tracking for Increments and Promotions."
Do you have accounting?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
How do I manage expenses?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
Tell me about expense management,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
Does it handle offboarding?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
What about company accounts?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
Can I create survey forms?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
Explain the accounting feature,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
How does offboarding work?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
What is expense management?,"The Accounting module helps you manage company accounts and their expenses effortlessly. It includes Expense Management, Offboarding workflows, and Employee Survey Forms."
What are your great and powerful features?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
List all your features,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Do you manage shifts?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Do you handle company policy?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Can I give awards?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Do you track holidays?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Does it have permissions?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Can it handle multiple currencies?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
Tell me about appreciations,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
What modules are included in the powerful features?,"Our great and powerful features include: HR Management, Employee Management, Asset Management, Shifts, Appreciations, Holiday, Leave Management, Company Policy, Attendance, Roles, Permissions, News, Offboarding, Survey Forms, Accounting, Payroll, Increment/Promotion, Currencies, Expenses, Awards, and Salary Slips. <br/><br/><a href='https://hrm.shnoor.com/features' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Explore All Modules</a>"
What is the pricing?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
How much does it cost?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
Tell me about the plans,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
Is there a free plan?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
What is the monthly plan?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
How much is the Shnoor plan?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
Do I need a credit card?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
How many users on the monthly plan?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
What are the payment options?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
Explain the pricing tiers,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
How do I choose a plan?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
Are payments secure?,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
pricing,"We offer a Free plan (no credit card required), a Monthly plan (₹499 billed monthly for 50 users with all modules included), and a Shnoor specific plan (₹3500 billed monthly). You can manage projects and talent in a single system. <br/><br/><a href='https://hrm.shnoor.com/pricing' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View Pricing Details</a>"
How do I contact you?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
Where are you located?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
What is your phone number?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
Can I get a demo?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
How do I request a demo?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
What is the contact email?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
Where is your office?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
What is the US address?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
How can I connect with your team?,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
Tell me your contact details,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
I want a demo,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
contact,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
contact us,"You can connect with us for a demo! Email us at info@shnoor.com, call us at 9429694298, or visit us at 10009 Mount Tabor Road, Odessa, Missouri USA. <br/><br/><a href='https://hrm.shnoor.com/contact' target='_blank' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Contact Us</a>"
